CHARADRIIFORMES	Ciconiiformes
FALCONIFORMES	Ciconiiformes
GAVIIFORMES	Ciconiiformes
LARI	Ciconiiformes
PELECANIFORMES	Ciconiiformes
PHOENICOPTERIFORMES	Ciconiiformes
PODICIPEDIFORMES	Ciconiiformes
PROCELLARIIFORMES	Ciconiiformes
PTEROCLETES	Ciconiiformes
SPHENISCIFORMES	Ciconiiformes
SIPHONOCLADALES	Cladophorales
LEUCETTIDA	Clathrinida
CLOSTRIDIALES	Clostridiales
COCCOLITHOPHORALES	Coccosphaerales
OLIGOENTOMATA	Collembola
PAEDOTROCHA	Collothecacea
COLPODIDA	Colpodida
COLUMBAE	Columbiformes
COLUMBIIFORMES	Columbiformes
PONTEDERIALES	Commelinales
COMPSOPOGONALES	Compsopogonales
ALCEDINES	Coraciiformes
CORACIADIFORMES	Coraciiformes
CORACII	Coraciiformes
MEROPES	Coraciiformes
CORALLIOMORPHARIA	Corallimorpharia
CORIOBACTERIALES	Coriobacteriales
CORNANAE	Cornales
CORNINEAE	Cornales
HYDRANGEALES	Cornales
CRATEROSTIGMIDA	Craterostigmomorpha
ORDERCRISTAMONADIDA	Cristamonadida
CROCODYLIA	Crocodilia
CRYPTOMONADIDA	Cryptomonadales
CYATHOMONADIDAE	Cryptomonadales
CUCULI	Cuculiformes
NOTODELPHYOIDA	Cyclopoida
THAUMATOPSYLLOIDA	Cyclopoida
CYCLOSTOMATA	Cyclostomatida
CYPRINOIDEI	Cypriniformes
MICROCYPRINI	Cyprinodontiformes
CYRTOLOPHOSIDIDA	Cyrtolophosidida
HETEROBASIDIOMYCETIDAE	Cystofilobasidiales
CYTOPHAGALES	Cytophagales
APODA	Darwinida
DEFERRIBACTERALES	Deferribacterales
DEINOCOCCALES	Deinococcales
DENDROCEROTALES	Dendrocerotales
DENDROCHIROTA	Dendrochirotida
DENTALIDA	Dentaliida Da
DESULFARCULALES CORRIG	Desulfarculales
DESULFOBACTERALES	Desulfobacterales
DESULFOVIBRIONALES	Desulfovibrionales
DESULFURELLALES	Desulfurellales
DESULFUROCOCCALES	Desulfurococcales
IGNEOCOCCALES	Desulfurococcales
DESULFUROMONADALES CORRIG	Desulfuromonadales
DESULFUROMONALES	Desulfuromonadales
DESULFUROMONAS GROUP	Desulfuromonadales
GEOBACTERACEAE	Desulfuromonadales
DIAPHANOPTEROIDEA	Diaphanopterodea
KERATOSA	Dictyoceratida
SILICOFLAGELLIDA	Dictyochales
DICTYOGLOMALES	Dictyoglomales
DICTYOSTELIA	Dictyosteliida
DICTYOSTELIALES	Dictyosteliida
DICTYOSTELIDA	Dictyosteliida
BURMANNIALES	Dioscoreales
DIPLEURA	Diplura
DIPLURA	Diplura
ECHIUROIDEA	Echiuroinea
HETEROMYOTA	Echiuroinea
ELOPOIDEI	Elopiformes
ELUSIMICROBIALES	Elusimicrobiales
EMBIOPTERA	Embiidina
EMBIIDINA	Embioptera
ENTEROBACTERIACEAE	Enterobacteriales
ENTEROBACTERIACEAE GROUP	Enterobacteriales
ENTEROBACTERIALES	Enterobacteriales
ENTOMOPLASMATALES	Entomoplasmatales
EPHEDRIDAE	Ephedrales
EREMITHALLALES	Eremithallales
EREMOTHALLALES	Eremithallales
EBENALES	Ericales
PRIMULALES	Ericales
STYRACALES	Ericales
THEALES	Ericales
THEANAE	Ericales
ERYSIPELOTRICHALES	Erysipelotrichales
ERYTHROPELTIDALES	Erythropeltidales
ESOCOIDEI	Esociformes
ETHMODISCALES	Ethmodiscales
EUCOCCIDIIDA	Eucoccidiorida
EUGLENIDA	Euglenales
EUPLOTIDA	Euplotida
ELAPHOMYCETALES	Eurotiales
EURYALAE	Euryalida
EURYALINA	Euryalida
EUZEBYALES	Euzebyales
EVAGIOGENIDA	Evaginogenida
BRACHYBASIDIALES	Exobasidiales
CRYPTOBASIDIALES	Exobasidiales
