group,iri,name,type,thesaurus,description,comments,examples,required
nucleic acid sequence source,https://w3id.org/mixs/0000015,rel_to_oxygen,,https://rs.gbif.org/vocabulary/dna/rel_to_oxygen.xml,,,,false
nucleic acid sequence source,https://w3id.org/mixs/0000003,isol_growth_condt,uri,,,,,false
nucleic acid sequence source,https://w3id.org/mixs/0000002,samp_collect_device,,,,,,false
nucleic acid sequence source,https://w3id.org/mixs/0001225,samp_collect_method,,,,,,false
nucleic acid sequence source,https://w3id.org/mixs/0000016,samp_mat_process,,,,,,false
nucleic acid sequence source,https://w3id.org/mixs/0000017,size_frac,,,,,,false
nucleic acid sequence source,https://w3id.org/mixs/0000001,samp_size,,,,,,false
nucleic acid sequence source,https://w3id.org/mixs/0000111,samp_vol_we_dna_ext,,,,,,false
nucleic acid sequence source,https://w3id.org/mixs/0000035,source_uvig,,https://rs.gbif.org/vocabulary/dna/source_uvig.xml,,,,false
nucleic acid sequence source,https://w3id.org/mixs/0000036,virus_enrich_appr,,https://rs.gbif.org/vocabulary/dna/virus_enrich_appr.xml,,,,false
sequencing,https://w3id.org/mixs/0000037,nucl_acid_ext,uri,,,,,false
sequencing,https://w3id.org/mixs/0000038,nucl_acid_amp,uri,,,,,false
sequencing,https://w3id.org/mixs/0000039,lib_size,integer,,,,,false
sequencing,https://w3id.org/mixs/0000040,lib_reads_seqd,integer,,,,,false
sequencing,https://w3id.org/mixs/0000041,lib_layout,,https://rs.gbif.org/vocabulary/dna/lib_layout.xml,,,,false
sequencing,https://w3id.org/mixs/0000042,lib_vector,,,,,,false
sequencing,https://w3id.org/mixs/0000043,lib_screen,,,,,,false
sequencing,https://w3id.org/mixs/0000044,target_gene,,,,,,false
sequencing,https://w3id.org/mixs/0000045,target_subfragment,,,,,,false
sequencing,https://w3id.org/mixs/0000046,pcr_primers,,,,,,false
sequencing,https://w3id.org/mixs/0000047,mid,,,,,,false
sequencing,https://w3id.org/mixs/0000048,adapters,,,,,,false
sequencing,https://w3id.org/mixs/0000049,pcr_cond,,,,,,false
sequencing,https://w3id.org/mixs/0000050,seq_meth,,https://rs.gbif.org/vocabulary/dna/seq_meth.xml,,,,false
sequencing,https://w3id.org/mixs/0000051,seq_quality_check,,,,,,false
sequencing,https://w3id.org/mixs/0000052,chimera_check,,,,,,false
sequencing,https://w3id.org/mixs/0000053,tax_ident,,https://rs.gbif.org/vocabulary/dna/tax_ident.xml,,,,false
sequencing,https://w3id.org/mixs/0000056,assembly_qual,,https://rs.gbif.org/vocabulary/dna/assembly_qual.xml,,,,false
sequencing,https://w3id.org/mixs/0000057,assembly_name,,,,,,false
sequencing,https://w3id.org/mixs/0000058,assembly_software,,,,,,false
sequencing,https://w3id.org/mixs/0000059,annot,,,,,,false
sequencing,https://w3id.org/mixs/0000060,number_contig,integer,,,,,false
sequencing,https://w3id.org/mixs/0000061,feat_pred,,,,,,false
sequencing,https://w3id.org/mixs/0000062,ref_db,,,,,,false
sequencing,https://w3id.org/mixs/0000063,sim_search_meth,,,,,,false
sequencing,https://w3id.org/mixs/0000064,tax_class,,,,,,false
sequencing,https://w3id.org/mixs/0000065,x16s_recover,boolean,,,,,false
sequencing,https://w3id.org/mixs/0000066,x16s_recover_software,,,,,,false
sequencing,https://w3id.org/mixs/0000067,trnas,integer,,,,,false
sequencing,https://w3id.org/mixs/0000068,trna_ext_software,,,,,,false
sequencing,https://w3id.org/mixs/0000069,compl_score,,,,,,false
sequencing,https://w3id.org/mixs/0000070,compl_software,,,,,,false
sequencing,https://w3id.org/mixs/0000071,compl_appr,,https://rs.gbif.org/vocabulary/dna/compl_appr.xml,,,,false
