group,iri,type,thesaurus,description,comments,examples,required
Management Vocabulary,http://purl.org/dc/terms/identifier,,,,,,true
Management Vocabulary,http://purl.org/dc/elements/1.1/type,,,,,,false
Management Vocabulary,http://purl.org/dc/terms/type,,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/subtypeLiteral,,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/subtype,,,,,,false
Management Vocabulary,http://purl.org/dc/terms/title,,,,,,false
Management Vocabulary,http://purl.org/dc/terms/modified,,,,,,false
Management Vocabulary,http://ns.adobe.com/xap/1.0/MetadataDate,,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/metadataLanguageLiteral,,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/metadataLanguage,,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/providerManagedID,,,,,,false
Management Vocabulary,http://ns.adobe.com/xap/1.0/Rating,,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/commenterLiteral,,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/commenter,,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/comments,,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/reviewerLiteral,,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/reviewer,,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/reviewerComments,,,,,,false
Management Vocabulary,http://purl.org/dc/terms/available,,,,,,false
Management Vocabulary,http://rs.tdwg.org/ac/terms/hasServiceAccessPoint,,,,,,false
Attribution Vocabulary,http://purl.org/dc/elements/1.1/rights,,,,,,false
Attribution Vocabulary,http://purl.org/dc/terms/rights,,,,,,false
Attribution Vocabulary,http://ns.adobe.com/xap/1.0/rights/Owner,,,,,,false
Attribution Vocabulary,http://ns.adobe.com/xap/1.0/rights/UsageTerms,,,,,,false
Attribution Vocabulary,http://ns.adobe.com/xap/1.0/rights/WebStatement,,,,,,false
Attribution Vocabulary,http://rs.tdwg.org/ac/terms/licenseLogoURL,,,,,,false
Attribution Vocabulary,http://ns.adobe.com/photoshop/1.0/Credit,,,,,,false
Attribution Vocabulary,http://rs.tdwg.org/ac/terms/attributionLogoURL,,,,,,false
Attribution Vocabulary,http://rs.tdwg.org/ac/terms/attributionLinkURL,,,,,,false
Attribution Vocabulary,http://rs.tdwg.org/ac/terms/fundingAttribution,,,,,,false
Attribution Vocabulary,http://purl.org/dc/elements/1.1/source,,,,,,false
Attribution Vocabulary,http://purl.org/dc/terms/source,,,,,,false
Agents Vocabulary,http://purl.org/dc/elements/1.1/creator,,,,,,false
Agents Vocabulary,http://purl.org/dc/terms/creator,,,,,,false
